"Data_Staalname_Genotype$ID","Data_Staalname_Genotype$Hok","Data_Staalname_Genotype$Call_final_Kristof"
"RAT-0001","BR67","WW"
"RAT-0002",NA,NA
"RAT-0003",NA,NA
"RAT-0004",NA,NA
"RAT-0005","BR37","M2W"
"RAT-0006","BR38","M2W"
"RAT-0007",NA,NA
"RAT-0008","BR39","M2W"
"RAT-0009","BR09","WW"
"RAT-0010",NA,NA
"RAT-0011","BR18","WW"
"RAT-0012","BR19","WW"
"RAT-0013",NA,NA
"RAT-0014",NA,NA
"RAT-0015","BR08","WW"
"RAT-0016",NA,NA
"RAT-0017",NA,NA
"RAT-0018",NA,NA
"RAT-0019","BR07","WW"
"RAT-0020",NA,NA
"RAT-0021",NA,NA
"RAT-0022",NA,NA
"RAT-0023","BR17","WW"
"RAT-0024",NA,NA
"RAT-0025",NA,NA
"RAT-0026",NA,NA
"RAT-0027",NA,NA
"RAT-0028",NA,NA
"RAT-0029",NA,NA
"RAT-0030",NA,NA
"RAT-0031",NA,NA
"RAT-0032",NA,NA
"RAT-0033",NA,NA
"RAT-0034",NA,NA
"RAT-0035",NA,NA
"RAT-0036",NA,NA
"RAT-0037",NA,NA
"RAT-0038",NA,NA
"RAT-0039",NA,NA
"RAT-0040",NA,NA
"RAT-0041",NA,NA
"RAT-0042",NA,NA
"RAT-0043",NA,NA
"RAT-0044",NA,NA
"RAT-0045",NA,NA
"RAT-0046",NA,NA
"RAT-0047",NA,NA
"RAT-0048",NA,NA
"RAT-0049",NA,NA
"RAT-0050",NA,NA
"RAT-0051",NA,NA
"RAT-0052",NA,NA
"RAT-0053",NA,NA
"RAT-0054",NA,NA
"RAT-0055",NA,NA
"RAT-0056",NA,NA
"RAT-0057",NA,NA
"RAT-0058",NA,NA
"RAT-0059",NA,NA
"RAT-0060",NA,NA
"RAT-0061",NA,NA
"RAT-0062",NA,NA
"RAT-0063",NA,NA
"RAT-0064",NA,NA
"RAT-0065",NA,NA
"RAT-0066",NA,NA
"RAT-0067",NA,NA
"RAT-0068",NA,NA
"RAT-0069",NA,NA
"RAT-0070",NA,NA
"RAT-0071",NA,NA
"RAT-0072",NA,NA
"RAT-0073",NA,NA
"RAT-0074",NA,NA
"RAT-0075",NA,NA
"RAT-0076",NA,NA
"RAT-0077",NA,NA
"RAT-0078",NA,NA
"RAT-0079",NA,NA
"RAT-0080",NA,NA
"RAT-0081",NA,NA
"RAT-0082","NE80","WW"
"RAT-0083","DL82","WW"
"RAT-0084","BO53","WW"
"RAT-0085","BO91","M1W"
"RAT-0086","BO80","WW"
"RAT-0087","BO96","M1M1?"
"RAT-0088","BO33","M1M1?"
"RAT-0089","BO10","M1M1?"
"RAT-0090","BO62","M1M1?"
"RAT-0091","BO33","M1M1?"
"RAT-0092","BO59","M1W"
"RAT-0093","BO06","M1M1?"
"RAT-0094","BO46","M1M1?"
"RAT-0095","BO47","M1W"
"RAT-0096","NA","WW"
"RAT-0097","BO39","WW"
"RAT-0098","NA",NA
"RAT-0099","NA","WW"
"RAT-0100","BO45","M1W"
"RAT-0101",NA,NA
"RAT-0102",NA,NA
"RAT-0103",NA,NA
"RAT-0104",NA,NA
"RAT-0105",NA,NA
"RAT-0106",NA,NA
"RAT-0107",NA,NA
"RAT-0108",NA,NA
"RAT-0109",NA,NA
"RAT-0110",NA,NA
"RAT-0111","LE55","WW"
"RAT-0112","LE85","WW"
"RAT-0113","IZ99","WW"
