ID;ID_LIMS;ID_Bekken;ID_Trim
RAT-1266;24-007464;RAT-1266;RAT-1266
RAT-1298;24-007465;RAT-1298;RAT-1298
RAT-1295;24-007466;RAT-1295;RAT-1295
RAT-1192;24-007467;RAT-1192;RAT-1192
RAT-1289;24-007468;RAT-1289;RAT-1289
RAT-1169;24-007469;RAT-1169;RAT-1169
RAT-1198;24-007470;RAT-1198;RAT-1198
RAT-1243;24-007471;RAT-1243;RAT-1243
RAT-1177;24-007472;RAT-1177;RAT-1177
RAT-1286;24-007473;RAT-1286;RAT-1286
RAT-1199;24-007474;RAT-1199;RAT-1199
RAT-1300;24-007475;RAT-1300;RAT-1300
RAT-1282;24-007476;RAT-1282;RAT-1282
RAT-1168;24-007477;RAT-1168;RAT-1168
RAT-1213;24-007478;RAT-1213;RAT-1213
RAT-1223;24-007479;RAT-1223;RAT-1223
RAT-1294;24-007480;RAT-1294;RAT-1294
RAT-1171;24-007481;RAT-1171;RAT-1171
RAT-1273;24-007482;RAT-1273;RAT-1273
RAT-1287;24-007483;RAT-1287;RAT-1287
RAT-1281;24-007484;RAT-1281;RAT-1281
RAT-1241;24-007485;RAT-1241;RAT-1241
RAT-1221;24-007486;RAT-1221;RAT-1221
RAT-1262;24-007487;RAT-1262;RAT-1262
RAT-1280;24-007488;RAT-1280;RAT-1280
RAT-1196;24-007489;RAT-1196;RAT-1196
RAT-1261;24-007490;RAT-1261;RAT-1261
RAT-1181;24-007491;RAT-1181;RAT-1181
RAT-1252;24-007492;RAT-1252;RAT-1252
RAT-1222;24-007493;RAT-1222;RAT-1222
RAT-1165;24-007494;RAT-1165;RAT-1165
RAT-1279;24-007495;RAT-1279;RAT-1279
RAT-1197;24-007496;RAT-1197;RAT-1197
RAT-1285;24-007497;RAT-1285;RAT-1285
RAT-1175;24-007498;RAT-1175;RAT-1175
RAT-1265;24-007499;RAT-1265;RAT-1265
RAT-1271;24-007500;RAT-1271;RAT-1271
RAT-1200;24-007501;RAT-1200;RAT-1200
RAT-1194;24-007502;RAT-1194;RAT-1194
RAT-1188;24-007503;RAT-1188;RAT-1188
RAT-1170;24-007504;RAT-1170;RAT-1170
RAT-1174;24-007505;RAT-1174;RAT-1174
RAT-1274;24-007506;RAT-1274;RAT-1274
