ID;Date;Mass;Fraction;Provoke_L;Provoke_R;Provoke_M;
91;12/01/2024;57;1;1;1;1;
501;12/01/2024;57;1;1;1;1;
90;12/01/2024;57;1;1;1;1;
502;12/01/2024;57;1;1;1;1;
503;12/01/2024;57;1;1;1;1;
504;12/01/2024;57;1;1;1;1;
505;12/01/2024;57;1;1;1;1;
16;12/01/2024;57;1;1;1;1;
15;12/01/2024;57;1;1;1;1;
315;12/01/2024;57;1;1;1;1;
219;12/01/2024;57;1;1;1;1;
223;12/01/2024;57;1;1;1;1;
224;12/01/2024;57;1;1;1;1;
109;12/01/2024;57;1;1;1;1;
8;12/01/2024;57;1;1;1;1;
7;12/01/2024;57;1;1;1;1;
301;12/01/2024;57;1;1;1;1;
17;12/01/2024;57;1;1;1;1;
209;12/01/2024;57;1;1;1;1;
214;12/01/2024;57;1;1;1;1;
314;12/01/2024;57;1;1;1;1;
33;12/01/2024;57;1;1;1;1;
39;12/01/2024;57;1;1;1;1;
37;12/01/2024;57;1;1;1;1;
36;12/01/2024;57;1;1;1;1;
313;12/01/2024;57;1;1;1;1;
358;12/01/2024;57;1;1;1;1;
212;12/01/2024;57;1;1;1;1;
213;12/01/2024;57;1;1;1;1;
211;12/01/2024;57;1;1;1;1;
210;12/01/2024;57;1;1;1;1;
355;12/01/2024;57;1;1;1;1;
356;12/01/2024;57;1;1;1;1;
220;12/01/2024;57;1;1;1;1;
322;12/01/2024;57;1;1;1;1;
225;12/01/2024;57;1;1;1;1;
351;12/01/2024;57;1;1;1;1;
226;12/01/2024;57;1;1;1;1;
227;12/01/2024;57;1;1;1;1;
302;12/01/2024;57;1;1;1;1;
352;12/01/2024;57;1;1;1;1;
350;12/01/2024;57;1;1;1;1;
228;12/01/2024;57;1;1;1;1;
300;12/01/2024;57;1;1;1;1;
11;12/01/2024;57;1;1;1;1;
6;12/01/2024;57;1;1;1;1;
19;12/01/2024;57;1;1;1;1;
108;12/01/2024;57;1;1;1;1;
601;12/01/2024;57;1;1;1;1;
18;12/01/2024;60;1;1;1;1;
91;19/01/2024;57;1;0;0;1;Opmerking: lokaas dozen buiten, provoke moeilijk te zien
501;19/01/2024;55;1;0;0;1;
90;19/01/2024;57;1;0;0;1;
502;19/01/2024;60;1;0;0;0;
503;19/01/2024;58;1;0;0;0;
504;19/01/2024;58;1;0;0;0;
505;19/01/2024;57;1;0;0;0;
16;19/01/2024;57;1;1;1;1;
15;19/01/2024;59;1;0;1;1;
315;19/01/2024;58;1;1;1;1;
219;19/01/2024;56;1;1;1;1;
223;19/01/2024;58;1;1;1;1;
224;19/01/2024;57;1;1;1;1;
109;19/01/2024;57;1;1;1;1;
8;19/01/2024;60;1;1;1;1;
7;19/01/2024;56;1;1;1;1;
301;19/01/2024;57;1;1;1;1;
17;19/01/2024;58;1;1;1;1;
209;19/01/2024;58;1;1;1;1;
214;19/01/2024;58;1;0;1;0;
314;19/01/2024;57;1;1;1;1;
33;19/01/2024;57;1;1;1;1;
39;19/01/2024;58;1;1;1;1;
37;19/01/2024;60;1;1;1;1;
36;19/01/2024;49;0.75;1;1;0;
313;19/01/2024;58;1;1;1;0;
358;19/01/2024;57;1;1;1;1;
212;19/01/2024;55;1;1;1;1;
213;19/01/2024;59;1;1;1;1;
211;19/01/2024;57;1;1;1;1;
210;19/01/2024;57;1;1;1;1;
355;19/01/2024;58;1;1;1;1;
356;19/01/2024;57;1;0;1;1;
220;19/01/2024;58;1;1;1;1;
322;19/01/2024;57;1;1;1;0;
225;19/01/2024;55;1;1;1;1;
351;19/01/2024;56;1;1;1;1;
226;19/01/2024;55;1;1;1;1;
227;19/01/2024;58;1;1;1;1;
302;19/01/2024;56;1;1;1;1;
352;19/01/2024;59;1;1;1;1;
350;19/01/2024;58;1;0;0;0;
228;19/01/2024;59;1;1;1;1;
300;19/01/2024;57;1;1;1;1;
11;19/01/2024;59;1;1;1;1;
6;19/01/2024;31;0.25;0;0;0;
19;19/01/2024;61;1;1;0;1;
108;19/01/2024;58;1;1;1;1;
601;19/01/2024;57;1;1;1;1;
18;19/01/2024;61;1;1;1;1;
91;26/01/2024;58;1;1;1;1;
501;26/01/2024;60;1;1;1;1;
90;26/01/2024;60;1;1;1;1;
502;26/01/2024;59;1;1;1;1;
89;26/01/2024;75;1;1;1;1;
19;26/01/2024;60;1;1;0;1;
108;26/01/2024;58;1;1;1;1;
503;26/01/2024;NA;NA;NA;NA;NA;Doos kapot
504;26/01/2024;83;1;1;1;1;
505;26/01/2024;58;1;1;1;1;
16;26/01/2024;60;1;1;1;1;
315;26/01/2024;58;1;1;1;1;
219;26/01/2024;57;1;1;1;1;
223;26/01/2024;58;1;1;1;1;
224;26/01/2024;58;1;1;1;1;
15;26/01/2024;59;1;1;1;1;
109;26/01/2024;57;1;1;1;1;
301;26/01/2024;58;1;1;1;1;
17;26/01/2024;57;1;1;1;1;
209;26/01/2024;57;1;1;1;1;
300;26/01/2024;59;1;1;1;1;
37;26/01/2024;60;1;0;1;1;
36;26/01/2024;49;0.75;1;1;1;
39;26/01/2024;58;1;1;1;1;
313;26/01/2024;59;1;1;1;1;
33;26/01/2024;58;1;1;1;1;
