ID;Date;Mass;Fraction;Provoke_L;Provoke_R;Provoke_M;
314;26/01/2024;58;1;1;1;1;
214;26/01/2024;59;1;1;1;1;
358;26/01/2024;58;1;1;1;1;
212;26/01/2024;59;1;1;1;1;
213;26/01/2024;59;1;1;1;1;
211;26/01/2024;57;1;1;1;1;
601;26/01/2024;58;1;1;1;1;
355;26/01/2024;57;1;1;1;1;
356;26/01/2024;58;1;1;1;1;
220;26/01/2024;58;1;1;1;1;
322;26/01/2024;58;1;1;1;1;
225;26/01/2024;55;0.9;1;1;1;
351;26/01/2024;56;1;1;1;1;
226;26/01/2024;54;1;1;1;1;
227;26/01/2024;58;1;1;1;1;
302;26/01/2024;57;1;1;1;1;
350;26/01/2024;59;1;0;0;0;
228;26/01/2024;59;1;1;1;1;
352;26/01/2024;59;1;1;1;1;
6;26/01/2024;19;0;0;0;0;
11;26/01/2024;59;1;1;1;1;
7;26/01/2024;59;1;1;1;1;
8;26/01/2024;57;1;1;1;1;
210;26/01/2024;57;1;1;1;1;
18;26/01/2024;60;1;1;1;1;
91;2/02/2024;58;1;1;1;1;
501;2/02/2024;58;1;1;1;1;
90;2/02/2024;62;1;0;0;0;
502;2/02/2024;63;1;0;0;1;
89;2/02/2024;57;1;0;0;0;
19;2/02/2024;60;1;0;1;1;
108;2/02/2024;58;1;1;1;1;
503;2/02/2024;NA;NA;NA;NA;NA;
504;2/02/2024;57;1;0;0;0;
505;2/02/2024;59;1;0;0;1;
16;2/02/2024;59;1;0;0;1;
315;2/02/2024;57;1;1;1;1;
219;2/02/2024;58;1;0;0;1;
223;2/02/2024;58;1;1;1;1;
224;2/02/2024;57;1;0;1;1;
15;2/02/2024;58;1;1;1;1;
109;2/02/2024;57;1;1;1;1;
301;2/02/2024;58;1;1;1;1;
17;2/02/2024;58;1;1;1;1;
209;2/02/2024;58;1;1;1;1;
300;2/02/2024;57;1;1;1;1;
37;2/02/2024;60;1;1;1;1;
36;2/02/2024;50;0.75;1;1;1;
39;2/02/2024;58;1;1;1;1;
313;2/02/2024;58;1;1;1;1;
33;2/02/2024;57;1;1;1;1;
314;2/02/2024;57;1;1;1;1;
214;2/02/2024;58;1;1;1;1;
358;2/02/2024;58;1;1;1;1;
212;2/02/2024;55;1;1;1;1;
213;2/02/2024;59;1;1;0;0;
211;2/02/2024;57;1;1;1;1;
601;2/02/2024;58;1;1;1;1;
355;2/02/2024;57;1;1;1;1;
356;2/02/2024;57;1;1;1;1;
220;2/02/2024;58;1;1;1;1;
322;2/02/2024;52;0.75;1;1;1;
225;2/02/2024;53;0.8;1;1;1;
351;2/02/2024;45;0.5;0;0;0;
226;2/02/2024;55;1;1;1;1;
227;2/02/2024;58;1;1;1;1;
302;2/02/2024;56;1;1;1;1;
350;2/02/2024;44;0.5;0;0;0;
228;2/02/2024;55;0.8;0;0;0;
352;2/02/2024;59;1;1;1;1;
6;2/02/2024;40;0.3;1;1;1;
11;2/02/2024;55;0.8;1;1;1;
7;2/02/2024;57;1;0;0;1;
8;2/02/2024;58;1;1;1;1;
210;2/02/2024;57;1;1;1;1;
18;2/02/2024;61;1;1;1;1;
91;9/02/2024;59;1;1;1;1;B
501;9/02/2024;58;1;1;1;1;B
90;9/02/2024;58;1;1;1;1;B
502;9/02/2024;61;1;1;1;1;B
89;9/02/2024;60;1;1;1;1;B
19;9/02/2024;59;1;1;1;1;B
108;9/02/2024;59;1;1;1;1;
503;9/02/2024;NA;nA;NA;NA;NA;B
504;9/02/2024;61;1;1;1;1;B
505;9/02/2024;59;1;1;1;1;B
16;9/02/2024;62;1;1;1;1;B
315;9/02/2024;55;1;1;1;1;
219;9/02/2024;57;1;1;1;1;
223;9/02/2024;58;1;1;1;1;
224;9/02/2024;58;1;1;1;1;
15;9/02/2024;58;1;1;1;1;B
109;9/02/2024;57;1;1;1;1;
301;9/02/2024;58;1;1;1;1;
17;9/02/2024;58;1;1;1;1;
209;9/02/2024;58;1;1;1;1;
300;9/02/2024;55;0.8;1;1;1;
37;9/02/2024;58;1;1;1;1;
36;9/02/2024;55;0.8;1;1;1;
39;9/02/2024;58;1;1;1;1;
313;9/02/2024;59;1;1;1;1;
33;9/02/2024;58;1;1;1;1;
314;9/02/2024;57;1;1;1;1;
214;9/02/2024;58;1;1;1;1;
358;9/02/2024;59;1;1;1;1;
212;9/02/2024;56;1;1;1;1;
213;9/02/2024;60;1;1;1;1;
211;9/02/2024;57;1;1;1;1;
210;9/02/2024;57;1;1;1;1;
601;9/02/2024;58;1;1;1;1;
355;9/02/2024;57;1;1;1;1;
356;9/02/2024;57;1;1;1;1;
220;9/02/2024;59;1;1;1;0;
322;9/02/2024;56;1;1;1;0;
225;9/02/2024;56;1;0;0;0;
351;9/02/2024;57;1;1;1;1;
226;9/02/2024;56;1;1;1;1;
227;9/02/2024;58;1;0;1;1;
302;9/02/2024;56;1;1;1;1;
350;9/02/2024;55;0.8;0;0;0;Dode muis in lokaasdoos
228;9/02/2024;58;1;0;1;1;
352;9/02/2024;58;1;1;1;1;
6;9/02/2024;22;0;1;1;1;B, slakken 
11;9/02/2024;46;0.5;1;1;0;B
7;9/02/2024;57;1;1;1;1;
8;9/02/2024;60;1;1;1;1;
18;9/02/2024;61;1;1;1;1;B
91;16/02/2024;62;1;0;0;0;
501;16/02/2024;60;1;1;0;0;
90;16/02/2024;62;1;0;0;0;
502;16/02/2024;61;1;0;0;0;
89;16/02/2024;62;1;0;0;0;
19;16/02/2024;63;1;0;0;0;
108;16/02/2024;58;1;1;1;1;MK
503;16/02/2024;NA;NA;NA;NA;NA;
504;16/02/2024;64;1;0;0;0;
505;16/02/2024;59;1;0;0;1;
16;16/02/2024;61;1;0;0;0;
315;16/02/2024;57;1;1;1;1;MK
219;16/02/2024;62;1;1;1;1;
223;16/02/2024;58;1;1;1;1;MK
224;16/02/2024;58;1;1;1;1;
15;16/02/2024;60;1;1;1;1;
109;16/02/2024;57;1;1;1;1;
301;16/02/2024;58;1;1;1;1;
17;16/02/2024;57;1;1;1;1;
209;16/02/2024;58;1;1;1;1;MK
300;16/02/2024;58;1;1;1;1;
37;16/02/2024;61;1;1;1;1;
36;16/02/2024;59;1;1;1;1;
39;16/02/2024;58;1;1;1;1;
313;16/02/2024;59;1;1;1;1;
33;16/02/2024;58;1;1;1;1;
314;16/02/2024;57;1;1;1;1;
214;16/02/2024;58;1;1;1;1;
358;16/02/2024;56;1;1;1;1;
212;16/02/2024;55;1;1;1;1;
213;16/02/2024;52;0.8;1;0;1;
211;16/02/2024;56;1;1;1;1;
210;16/02/2024;57;1;0;1;0;
601;16/02/2024;58;1;1;1;1;
355;16/02/2024;58;1;1;1;1;
356;16/02/2024;47;0.75;1;1;1;
220;16/02/2024;58;1;1;1;1;
322;16/02/2024;36;0.5;1;0;0;MK
225;16/02/2024;57;1;0;1;1;
351;16/02/2024;58;1;1;1;1;
226;16/02/2024;55;1;1;1;1;
227;16/02/2024;59;1;1;1;1;
302;16/02/2024;56;1;1;1;1;
350;16/02/2024;51;0.8;0;0;0;MK
228;16/02/2024;58;1;1;0;1;
352;16/02/2024;58;1;1;1;1;
6;16/02/2024;18;0;0;0;0;
11;16/02/2024;19;0;1;1;0;
7;16/02/2024;58;1;1;1;1;
8;16/02/2024;59;1;1;1;1;
18;16/02/2024;33;0.25;0;0;0;
